brand,priority,source_tasks,asins,asin_count,product_lines,monthly_sales_max,unavailable_asins,legacy_evidence_count,sample_titles
DMYWB,high,ASIN 竞手雷达;Vlogging 竞手价格监控,B0FJF7YXD9,1,auto_face_tracking;phone_tripod;vlogging_kit,1000,,0,"71“ Content Creator Essentials Vlogging Kit - 2 Lights & 2 Mics, 360° Rotating Auto Face Tracking Tripod for iPhone/Android/Camera with Wireless Remote, No App for Vlog, Live, Video Record || 71"" Content Creator Essentials Vlogging Kit for iPhone - 2 L"
yAyusi,high,ASIN 竞手雷达;Vlogging 竞手价格监控,B0F8NCBKPS;B0GCF2Z74Y;B0GL7L1Z9J,3,auto_face_tracking;light_kit;magnetic;phone_tripod;vlogging_kit,400,,23,"yAyusi Magnetic Vlogging Kit for iPhone/Android, 71” Auto Face Tracking Tripod for iPhone with Light, Magnetic Microphone/Remote Control, Content Creator Essentials Starter Kit for TikTok and YouTube || Magnetic Vlogging Kit for iPhone/Android, 71"" Auto Face Trac || 3-in-1 Magnetic Vlogging Kit for iPhone/Android, YouTube Sta"
Yeaki,high,ASIN 竞手雷达;Vlogging 竞手价格监控,B0DWJH4BHS;B0F8NCLBVG;B0F9FD52N7;B0FKGXDX1P;B0FPX2K174;B0FSDBZ34X;B0FY61ZMVT,7,auto_face_tracking;light_kit;phone_tripod;selfie_stick;vlogging_kit,1000,,23,"71” Auto Face Tracking Tripod for iPhone with Light || Selfie Stick Tripod for iPhone with Fill Light || Yeaki Vlogging Kit for iPhone/Android, 71“ Selfie Stick Tripod for iPhone with Light, Wireless Remote & Microphone, Adjustable Phone Tripod for TikTok/YouTube Starter Content Creator Essentials Kit"
YUANRAN,high,ASIN 竞手雷达;Vlogging 竞手价格监控,B0F7LG33Z7;B0FNCD19QZ;B0FW4KL9RS;B0G6KNL22M;B0GQLVKP6L,5,auto_face_tracking;light_kit;phone_tripod;selfie_stick;vlogging_kit,1000,,0,"Selfie Stick Phone Tripod with Rechargeable Remote,Portable Extendable Cell Phone Tripod Stand for Video Recording,Travel Selfie Stick for iPhone and Android || Auto Face Tracking Tripod for iPhone,360 Rotation Travel Selfie Stick Mount,Face Tracking Phone Tripod Holder with Light and Remote,Applied to Tiktok YouTube Vlog Video Recording || 70” Auto Face Tracking Tripod for iPhone,360 Rotation Travel Selfie Stick Mount,Face Tracking Phone Tripod Holder with Light and Remote,Applied to Tiktok YouTube Vlog Video Recording"
EUCOS,medium,ASIN 竞手雷达,B0DTHQKCRK,1,magnetic;phone_tripod;selfie_stick,,,25,"EUCOS 62” & 63” Phone Tripod, Tripod for iPhone & Selfie Stick Tripod with Remote, Solidest Clamp Mount & Magnetic Holder Compatible with iPhone/Android"
Ivbmir,medium,Vlogging 竞手价格监控,B0FWQMCCLX,1,auto_face_tracking;light_kit;phone_tripod,400,,0,"71”Auto Face Tracking Tripod for iPhone with Light, Vlogging"
SENSYNE,medium,ASIN 竞手雷达,B0BPM21DF1,1,phone_tripod;selfie_stick,,,24,"Sensyne Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera…"
TONEOF,medium,ASIN 竞手雷达,B0DC3RW27T,1,magnetic;phone_tripod;selfie_stick,,,18,"TONEOF 60” Magnetic Cell Phone Selfie Stick Tripod,Smartphone Stand All-in-1 with Integrated Wireless Remote,Portable,Lightweight,Extendable Phone Holder for 4’’-7’’ iPhone and Android(Black)"
USKEYVISION,medium,ASIN 竞手雷达;Vlogging 竞手价格监控,B0FF1HNT2T;B0FVXYL73W;B0FWRPHZ1H;B0GG865SHL;B0GSF71XGY,5,auto_face_tracking;light_kit;phone_tripod;selfie_stick;vlogging_kit,100,,0,"USKEYVISION 70” Auto Face Tracking Tripod, Selfie Stick for iPhone w/Remote Control, Extendable 360° Rotation Phone Tripod for iPhone and Android TikTok,Vlogging || USKEYVISION Upgraded Vlogging Kit with Camera Tripod,LED Fill Light and Microphone || USKEYVISION Vlogging Kit for iPhone&Android, Auto Face Tracking Tripod for iPhone, YouTube Starter Kit w/Light, Phone Tripod for Video Recording, Wireless Lavalier Microphone, Remote Control"
Vimose,medium,ASIN 竞手雷达,B0DLW5BMYF;B0FP8F4FDG,2,phone_tripod;selfie_stick,,,15,"Vimose Phone Tripod & Selfie Stick with Remote, Portable, Lightweight for Video Recording Vlog, Extendable Travel Tripod Stand Compatible with iPhone Android || 66' Phone Tripod, Tripod for iPhone with Remote & Ultimate Phone Mount, Extendable Cell Phone Tripod Stand for Video Recording, Professional Tripod & Monopod Accessories, Compatible for iPhone/Android"
