period,brand,query,rank,video_id,url,title,channel,upload_date,views,duration_sec,brand_relevance,actor_type,content_format,promotion_type,asin_signal,description_signal,next_action
2026-W26,yAyusi,yAyusi auto face tracking tripod,1,myPYfwE98ts,https://www.youtube.com/watch?v=myPYfwE98ts,"yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light, No App, 70.9"" Motion Sensor",Hoov45 😎,,16080,374.0,high,amazon_affiliate,product_demo,amazon_link,,"https://urlgeni.us/amzn/hkhl_FaceTrackingTripod yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light, No App, ...",count_as_evidence
2026-W26,yAyusi,yAyusi auto face tracking tripod,2,ImPS0ZSm14s,https://www.youtube.com/watch?v=ImPS0ZSm14s,yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light,Jenn,,4295,103.0,high,amazon_affiliate,product_demo,amazon_link,,"Shop it here https://amzn.to/4doLtGH * as an Amazon affiliate, I earn commission on qualifying purchases. Thank you for your ...",count_as_evidence
2026-W26,yAyusi,yAyusi auto face tracking tripod,3,9da-MXTcVLM,https://www.youtube.com/watch?v=9da-MXTcVLM,yAyusi Extendable Auto Face Tracking Tripod 360° Rotation with Light,Jenn,,1393,72.0,high,amazon_affiliate,product_demo,amazon_link,,"Shop it here https://amzn.to/4doLtGH *As an Amazon affiliate, I earn commission on qualifying purchases. Thank you for your ...",count_as_evidence
2026-W26,yAyusi,yAyusi auto face tracking tripod,4,XLbF-WnD_wA,https://www.youtube.com/watch?v=XLbF-WnD_wA,NEMOVA 68'' Auto Face Tracking Tripod,Skinner's 100% Honest Reviews,,29762,317.0,adjacent,amazon_affiliate,product_demo,amazon_link,,CHECK OUT TODAY'S PRICE ON AMAZON: ▻▻▻ https://amzn.to/45vtqfE DISCLAIMER: Some of these links are affiliate links ...,manual_verify_before_counting
2026-W26,yAyusi,yAyusi auto face tracking tripod,5,FtU3aKrB-kE,https://www.youtube.com/watch?v=FtU3aKrB-kE,Struggling w/ Static Shots? Discover the yAyusi 360° Auto Face Tracking Tripod – Ultimate Companion!,Best Buys Reviewed,,546,212.0,high,amazon_affiliate,product_demo,amazon_link,,"Link: https://amzn.to/49T87H5 Have you ever tried recording a video, only to realize halfway through that the angle is all wrong or ...",count_as_evidence
2026-W26,yAyusi,B0F8NCBKPS yAyusi,1,AqDK8xHJev0,https://www.youtube.com/watch?v=AqDK8xHJev0,Unboxing NEW TRIPOD * AI Tracking? ,Ms. Katherine Velasquez- Garcia,,8,100.0,low,organic_or_unknown,unboxing,unknown,B0F8NCBKPS,Finally ordered a tripod as a gift to myself this holiday season Years struggling of placing books and box's on each other just to ...,manual_verify_before_counting
2026-W26,Yeaki,Yeaki vlogging kit tripod,1,CUjZA_Dz27I,https://www.youtube.com/watch?v=CUjZA_Dz27I,REVIEW (2026): Yeaki Vlogging Kit for iPhone/Android. Features,Product Overview World,,313,81.0,high,organic_or_unknown,review_demo,unknown,,Thinking about the Yeaki Vlogging Kit for iPhone/Android? This video covers its most important features. View on Amazon: ...,count_as_evidence
2026-W26,Yeaki,Yeaki vlogging kit tripod,2,RVkjVbX5cMg,https://www.youtube.com/watch?v=RVkjVbX5cMg,Yeaki Vlogging Kit: The Ultimate iPhone/Android Content Creator Powerhouse!,Top 5 Wiki,,305,200.0,high,organic_or_unknown,product_demo,unknown,,Yeaki Vlogging Kit: The Ultimate iPhone/Android Content Creator Powerhouse! ▻ Latest Price & AMZN link here ...,count_as_evidence
2026-W26,Yeaki,Yeaki vlogging kit tripod,3,dz6pzMJatME,https://www.youtube.com/watch?v=dz6pzMJatME,📷 Yeaki Vlogging Kit for iPhone/Android | Best Beginner Vlogging Kit 📷,The Product Critiques,,573,263.0,high,paid_or_affiliate,comparison_or_best,amazon_link,,"Amazon Product Name : Yeaki Vlogging Kit for iPhone/Android Amazon Link : https://amzn.to/4lTV1hh (paid link), #ad ...",count_as_evidence
2026-W26,Yeaki,Yeaki vlogging kit tripod,4,LleizmTCfg8,https://www.youtube.com/watch?v=LleizmTCfg8,"Overview: Yeaki Vlogging Kit: AI Face Tracking, Light & Mic for Pro Videos",Amazon Shopping,,77,31.0,high,platform_auto_or_shopping,feature_overview,amazon_link,B0DWJH4BHS,Check out this product on Amazon: https://www.amazon.com/dp/B0DWJH4BHS?ref_=fs_yt_sl Explore more videos about this ...,count_as_evidence
